contentid;pagetitle;tmplvarid;value
7531983;NV2-H-8M;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531983;NV2-H-8M;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531983;NV2-H-8M;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531983;NV2-H-8M;123;M8A-V4B-SS
7531983;NV2-H-8M;126;M8A-V4B-SS
7531984;NV3-H-10M;6;assets/images/NV_H_s100.jpg
7531984;NV3-H-10M;16;Hy-Lok 10mm
7531984;NV3-H-10M;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531984;NV3-H-10M;18;"{""18"":""0,73"",""25"":""6,3""}"
7531984;NV3-H-10M;21;Hy-Lok 1000mm
7531984;NV3-H-10M;38;V15C-D-10M-BH
7531984;NV3-H-10M;39;V15C-D-10M
7531984;NV3-H-10M;71;"от -54&#176;C до 232&#176;C"
7531984;NV3-H-10M;82;PTFE (стандарт)
7531984;NV3-H-10M;83;V
7531984;NV3-H-10M;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531984;NV3-H-10M;91;SS-1VS10MM
7531984;NV3-H-10M;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531984;NV3-H-10M;96;V-образная (стандарт)
7531984;NV3-H-10M;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531984;NV3-H-10M;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531984;NV3-H-10M;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531984;NV3-H-10M;123;M10A-V6B-SS
7531984;NV3-H-10M;126;M10A-V6B-SS
7531985;NV3-H-12M;6;assets/images/NV_H_s100.jpg
7531985;NV3-H-12M;16;Hy-Lok 12mm
7531985;NV3-H-12M;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531985;NV3-H-12M;18;"{""18"":""0,73"",""25"":""6,3""}"
7531985;NV3-H-12M;21;Hy-Lok 12mm
7531985;NV3-H-12M;38;V15C-D-12M-BH
7531985;NV3-H-12M;39;V15C-D-12M
7531985;NV3-H-12M;71;"от -54&#176;C до 232&#176;C"
7531985;NV3-H-12M;82;PTFE (стандарт)
7531985;NV3-H-12M;83;V
7531985;NV3-H-12M;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531985;NV3-H-12M;91;SS-1VS12MM
7531985;NV3-H-12M;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531985;NV3-H-12M;96;V-образная (стандарт)
7531985;NV3-H-12M;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531985;NV3-H-12M;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531985;NV3-H-12M;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531985;NV3-H-12M;123;M12A-V6B-SS
7531985;NV3-H-12M;126;M12A-V6B-SS
7531986;NV4-H-12M;6;assets/images/NV_H_s100.jpg
7531986;NV4-H-12M;16;Hy-Lok 12mm
7531986;NV4-H-12M;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531986;NV4-H-12M;18;"{""18"":""1,8"",""25"":""9,5""}"
7531986;NV4-H-12M;21;Hy-Lok 12mm
7531986;NV4-H-12M;38;V15D-D-12M-BH
7531986;NV4-H-12M;39;V15D-D-12M
7531986;NV4-H-12M;71;"от -54&#176;C до 232&#176;C"
7531986;NV4-H-12M;82;PTFE (стандарт)
7531986;NV4-H-12M;83;V
7531986;NV4-H-12M;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531986;NV4-H-12M;91;SS-18VS12MM
7531986;NV4-H-12M;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531986;NV4-H-12M;96;V-образная (стандарт)
7531986;NV4-H-12M;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531986;NV4-H-12M;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531986;NV4-H-12M;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531986;NV4-H-12M;123;M12A-V8B-SS
7531986;NV4-H-12M;126;M12A-V8B-SS
7531987;NV4-H-14M;6;assets/images/NV_H_s100.jpg
7531987;NV4-H-14M;16;Hy-Lok 14mm
7531987;NV4-H-14M;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531987;NV4-H-14M;18;"{""18"":""1,8"",""25"":""9,5""}"
7531987;NV4-H-14M;21;Hy-Lok 14mm
7531987;NV4-H-14M;38;V15D-D-14M-BH
7531987;NV4-H-14M;39;V15D-D-14M
7531987;NV4-H-14M;71;"от -54&#176;C до 232&#176;C"
7531987;NV4-H-14M;82;PTFE (стандарт)
7531987;NV4-H-14M;83;V
7531987;NV4-H-14M;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531987;NV4-H-14M;91;SS-18VS14MM
7531987;NV4-H-14M;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531987;NV4-H-14M;96;V-образная (стандарт)
7531987;NV4-H-14M;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531987;NV4-H-14M;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531987;NV4-H-14M;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531987;NV4-H-14M;123;M14A-V8B-SS
7531987;NV4-H-14M;126;M14A-V8B-SS
7531988;NV4-H-16M;6;assets/images/NV_H_s100.jpg
7531988;NV4-H-16M;16;Hy-Lok 16mm
7531988;NV4-H-16M;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531988;NV4-H-16M;18;"{""18"":""1,8"",""25"":""9,5""}"
7531988;NV4-H-16M;21;Hy-Lok 16mm
7531988;NV4-H-16M;38;V15D-D-16M-BH
7531988;NV4-H-16M;39;V15D-D-16M
7531988;NV4-H-16M;71;"от -54&#176;C до 232&#176;C"
7531988;NV4-H-16M;82;PTFE (стандарт)
7531988;NV4-H-16M;83;V
7531988;NV4-H-16M;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531988;NV4-H-16M;91;SS-18VS16MM
7531988;NV4-H-16M;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531988;NV4-H-16M;96;V-образная (стандарт)
7531988;NV4-H-16M;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531988;NV4-H-16M;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531988;NV4-H-16M;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531988;NV4-H-16M;123;M16A-V8B-SS
7531988;NV4-H-16M;126;M16A-V8B-SS
7531989;NV4-H-18M;6;assets/images/NV_H_s100.jpg
7531989;NV4-H-18M;16;Hy-Lok 18mm
7531989;NV4-H-18M;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531989;NV4-H-18M;18;"{""18"":""1,8"",""25"":""9,5""}"
7531989;NV4-H-18M;21;Hy-Lok 18mm
7531989;NV4-H-18M;38;V15D-D-18M-BH
7531989;NV4-H-18M;39;V15D-D-18M
7531989;NV4-H-18M;71;"от -54&#176;C до 232&#176;C"
7531989;NV4-H-18M;82;PTFE (стандарт)
7531989;NV4-H-18M;83;V
7531989;NV4-H-18M;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531989;NV4-H-18M;91;SS-18VS18MM
7531989;NV4-H-18M;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531989;NV4-H-18M;96;V-образная (стандарт)
7531989;NV4-H-18M;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531989;NV4-H-18M;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531989;NV4-H-18M;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531989;NV4-H-18M;123;M18A-V8B-SS
7531989;NV4-H-18M;126;M18A-V8B-SS
7531990;NV4-H-20M;6;assets/images/NV_H_s100.jpg
7531990;NV4-H-20M;16;Hy-Lok 20mm
7531990;NV4-H-20M;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531990;NV4-H-20M;18;"{""18"":""1,8"",""25"":""9,5""}"
7531990;NV4-H-20M;21;Hy-Lok 20mm
7531990;NV4-H-20M;38;V15D-D-20M-BH
7531990;NV4-H-20M;39;V15D-D-20M
7531990;NV4-H-20M;71;"от -54&#176;C до 232&#176;C"
7531990;NV4-H-20M;82;PTFE (стандарт)
7531990;NV4-H-20M;83;V
7531990;NV4-H-20M;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531990;NV4-H-20M;91;SS-18VS20MM
7531990;NV4-H-20M;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531990;NV4-H-20M;96;V-образная (стандарт)
7531990;NV4-H-20M;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531990;NV4-H-20M;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531990;NV4-H-20M;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531990;NV4-H-20M;123;M20A-V8B-SS
7531990;NV4-H-20M;126;M20A-V8B-SS
7531991;NV1-H-2T;6;assets/images/NV_H_s100.jpg
7531991;NV1-H-2T;16;"Hy-Lok 1/8"""
7531991;NV1-H-2T;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531991;NV1-H-2T;18;"{""18"":""0,09"",""25"":""2""}"
7531991;NV1-H-2T;21;"Hy-Lok 1/8"""
7531991;NV1-H-2T;38;V15A-D-2T-BH
7531991;NV1-H-2T;39;V15A-D-2T
7531991;NV1-H-2T;71;"от -54&#176;C до 232&#176;C"
7531991;NV1-H-2T;82;PTFE (стандарт)
7531991;NV1-H-2T;83;V
7531991;NV1-H-2T;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531991;NV1-H-2T;91;SS-OVS2
7531991;NV1-H-2T;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531991;NV1-H-2T;96;V-образная (стандарт)
7531991;NV1-H-2T;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531991;NV1-H-2T;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531991;NV1-H-2T;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531991;NV1-H-2T;123;2TA-V2B-SS
7531991;NV1-H-2T;126;2TA-V2B-SS
7531992;NV2-H-4T;6;assets/images/NV_H_s100.jpg
7531992;NV2-H-4T;16;"Hy-Lok 1/4"""
7531992;NV2-H-4T;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531992;NV2-H-4T;18;"{""18"":""0,37"",""25"":""4,3""}"
7531992;NV2-H-4T;21;"Hy-Lok 1/4"""
7531992;NV2-H-4T;38;V15B-D-4T-BH
7531992;NV2-H-4T;39;V15B-D-4T
7531992;NV2-H-4T;71;"от -54&#176;C до 232&#176;C"
7531992;NV2-H-4T;82;PTFE (стандарт)
7531992;NV2-H-4T;83;V
7531992;NV2-H-4T;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531992;NV2-H-4T;91;SS-1VS4
7531992;NV2-H-4T;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531992;NV2-H-4T;96;V-образная (стандарт)
7531992;NV2-H-4T;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531992;NV2-H-4T;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531992;NV2-H-4T;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531992;NV2-H-4T;123;4TA-V4B-SS
7531992;NV2-H-4T;126;4TA-V4B-SS
7531993;NV3-H-6T;6;assets/images/NV_H_s100.jpg
7531993;NV3-H-6T;16;"Hy-Lok 3/8"""
7531993;NV3-H-6T;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531993;NV3-H-6T;18;"{""18"":""0,73"",""25"":""6,3""}"
7531993;NV3-H-6T;21;"Hy-Lok 3/8"""
7531993;NV3-H-6T;38;V15C-D-6T-BH
7531993;NV3-H-6T;39;V15C-D-6T
7531993;NV3-H-6T;71;"от -54&#176;C до 232&#176;C"
7531993;NV3-H-6T;82;PTFE (стандарт)
7531993;NV3-H-6T;83;V
7531993;NV3-H-6T;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531993;NV3-H-6T;91;SS-1VS6
7531993;NV3-H-6T;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531993;NV3-H-6T;96;V-образная (стандарт)
7531993;NV3-H-6T;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531993;NV3-H-6T;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531993;NV3-H-6T;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531993;NV3-H-6T;123;6TA-V6B-SS
7531993;NV3-H-6T;126;6TA-V6B-SS
7531994;NV3-H-8T;6;assets/images/NV_H_s100.jpg
7531994;NV3-H-8T;16;"Hy-Lok 1/2"""
7531994;NV3-H-8T;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531994;NV3-H-8T;18;"{""18"":""0,73"",""25"":""6,3""}"
7531994;NV3-H-8T;21;"Hy-Lok 1/2"""
7531994;NV3-H-8T;38;V15C-D-8T-BH
7531994;NV3-H-8T;39;V15C-D-8T
7531994;NV3-H-8T;71;"от -54&#176;C до 232&#176;C"
7531994;NV3-H-8T;82;PTFE (стандарт)
7531994;NV3-H-8T;83;V
7531994;NV3-H-8T;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531994;NV3-H-8T;91;SS-1VS8
7531994;NV3-H-8T;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531994;NV3-H-8T;96;V-образная (стандарт)
7531994;NV3-H-8T;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531994;NV3-H-8T;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531994;NV3-H-8T;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531994;NV3-H-8T;123;8TA-V6B-SS
7531994;NV3-H-8T;126;8TA-V6B-SS
7531995;NV4-H-8T;6;assets/images/NV_H_s100.jpg
7531995;NV4-H-8T;16;"Hy-Lok 1/2"""
7531995;NV4-H-8T;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531995;NV4-H-8T;18;"{""18"":""1,8"",""25"":""9,5""}"
7531995;NV4-H-8T;21;"Hy-Lok 1/2"""
7531995;NV4-H-8T;38;V15D-D-8T-BH
7531995;NV4-H-8T;39;V15D-D-8T
7531995;NV4-H-8T;71;"от -54&#176;C до 232&#176;C"
7531995;NV4-H-8T;82;PTFE (стандарт)
7531995;NV4-H-8T;83;V
7531995;NV4-H-8T;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531995;NV4-H-8T;91;SS-18VS8
7531995;NV4-H-8T;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531995;NV4-H-8T;96;V-образная (стандарт)
7531995;NV4-H-8T;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531995;NV4-H-8T;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531995;NV4-H-8T;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531995;NV4-H-8T;123;8TA-V8B-SS
7531995;NV4-H-8T;126;8TA-V8B-SS
7531996;NV4-H-10T;6;assets/images/NV_H_s100.jpg
7531996;NV4-H-10T;16;"Hy-Lok 5/8"""
7531996;NV4-H-10T;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531996;NV4-H-10T;18;"{""18"":""1,8"",""25"":""9,5""}"
7531996;NV4-H-10T;21;"Hy-Lok 5/8"""
7531996;NV4-H-10T;38;V15D-D-10T-BH
7531996;NV4-H-10T;39;V15D-D-10T
7531996;NV4-H-10T;71;"от -54&#176;C до 232&#176;C"
7531996;NV4-H-10T;82;PTFE (стандарт)
7531996;NV4-H-10T;83;V
7531996;NV4-H-10T;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531996;NV4-H-10T;91;SS-18VS10
7531996;NV4-H-10T;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531996;NV4-H-10T;96;V-образная (стандарт)
7531996;NV4-H-10T;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531996;NV4-H-10T;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531996;NV4-H-10T;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531996;NV4-H-10T;123;10TA-V8B-SS
7531996;NV4-H-10T;126;10TA-V8B-SS
7531997;NV4-H-12T;6;assets/images/NV_H_s100.jpg
7531997;NV4-H-12T;16;"Hy-Lok 3/4"""
7531997;NV4-H-12T;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531997;NV4-H-12T;18;"{""18"":""1,8"",""25"":""9,5""}"
7531997;NV4-H-12T;21;"Hy-Lok 3/4"""
7531997;NV4-H-12T;38;V15D-D-12T-BH
7531997;NV4-H-12T;39;V15D-D-12T
7531997;NV4-H-12T;71;"от -54&#176;C до 232&#176;C"
7531997;NV4-H-12T;82;PTFE (стандарт)
7531997;NV4-H-12T;83;V
7531997;NV4-H-12T;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531997;NV4-H-12T;91;SS-18VS12
7531997;NV4-H-12T;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531997;NV4-H-12T;96;V-образная (стандарт)
7531997;NV4-H-12T;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531997;NV4-H-12T;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531997;NV4-H-12T;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531997;NV4-H-12T;123;12TA-V8B-SS
7531997;NV4-H-12T;126;12TA-V8B-SS
7531998;NV1-F-2N;6;assets/images/NV_F_s100.jpg
7531998;NV1-F-2N;16;"NPT 1/8"""
